transfer_size,trial,parallelism,ior_started_pdt,ior_started_utc,first_file_object_key,first_file_time_utc,last_file_object_key,last_file_time_utc,latency_start_to_first_file,latency_start_to_last_file,base_pattern,aws_timezone_treatment
100m,1,32,Tue Jul 29 17:59:03 2025,2025-07-30T00:59:03+00:00,32_ts100m_bs100m_t1.00000000,2025-07-30T08:00:01+00:00,,,25258.0,,32_ts100m_bs100m_t1,PDT→UTC
100m,2,32,Tue Jul 29 18:05:01 2025,2025-07-30T01:05:01+00:00,32_ts100m_bs100m_t2.00000000,2025-07-30T08:06:02+00:00,,,25261.0,,32_ts100m_bs100m_t2,PDT→UTC
100m,3,32,Tue Jul 29 18:10:58 2025,2025-07-30T01:10:58+00:00,32_ts100m_bs100m_t3.00000000,2025-07-30T07:25:01+00:00,,,22443.0,,32_ts100m_bs100m_t3,PDT→UTC
1m,1,32,Tue Jul 29 17:56:40 2025,2025-07-30T00:56:40+00:00,,,,,,,32_ts1m_bs100m_t1,PDT→UTC
1m,2,32,Tue Jul 29 18:02:38 2025,2025-07-30T01:02:38+00:00,,,,,,,32_ts1m_bs100m_t2,PDT→UTC
1m,3,32,Tue Jul 29 18:08:35 2025,2025-07-30T01:08:35+00:00,32_ts1m_bs100m_t3.00000000,2025-07-30T08:58:01+00:00,,,28166.0,,32_ts1m_bs100m_t3,PDT→UTC
4k,1,32,Tue Jul 29 17:54:17 2025,2025-07-30T00:54:17+00:00,,,,,,,32_ts4k_bs100m_t1,PDT→UTC
4k,2,32,Tue Jul 29 18:00:15 2025,2025-07-30T01:00:15+00:00,32_ts4k_bs100m_t2.00000000,2025-07-30T08:01:01+00:00,,,25246.0,,32_ts4k_bs100m_t2,PDT→UTC
4k,3,32,Tue Jul 29 18:06:12 2025,2025-07-30T01:06:12+00:00,32_ts4k_bs100m_t3.00000000,2025-07-30T08:07:01+00:00,,,25249.0,,32_ts4k_bs100m_t3,PDT→UTC
4m,1,32,Tue Jul 29 17:57:52 2025,2025-07-30T00:57:52+00:00,32_ts4m_bs100m_t1.00000000,2025-07-30T07:59:01+00:00,,,25269.0,,32_ts4m_bs100m_t1,PDT→UTC
4m,2,32,Tue Jul 29 18:03:49 2025,2025-07-30T01:03:49+00:00,32_ts4m_bs100m_t2.00000000,2025-07-30T08:53:01+00:00,,,28152.0,,32_ts4m_bs100m_t2,PDT→UTC
4m,3,32,Tue Jul 29 18:09:47 2025,2025-07-30T01:09:47+00:00,32_ts4m_bs100m_t3.00000000,2025-07-30T08:59:01+00:00,,,28154.0,,32_ts4m_bs100m_t3,PDT→UTC
8k,1,32,Tue Jul 29 17:55:29 2025,2025-07-30T00:55:29+00:00,,,,,,,32_ts8k_bs100m_t1,PDT→UTC
8k,2,32,Tue Jul 29 18:01:26 2025,2025-07-30T01:01:26+00:00,,,,,,,32_ts8k_bs100m_t2,PDT→UTC
8k,3,32,Tue Jul 29 18:07:23 2025,2025-07-30T01:07:23+00:00,,,,,,,32_ts8k_bs100m_t3,PDT→UTC
